Player,Team,Stat,Line
Jordan Poole,WAS,3-PT Made,2.5
Jonas Valanciunas,WAS,Rebounds,11.5
Jonas Valanciunas,WAS,Pts+Rebs+Asts,29.5
Jonas Valanciunas,WAS,Pts+Rebs,14.5
Jonas Valanciunas,WAS,Pts+Asts,14.5
Jonas Valanciunas,WAS,Points,15.5
Jonas Valanciunas,WAS,Pts+Rebs,24.5
Jonas Valanciunas,WAS,Pts+Asts,9.5
Jonas Valanciunas,WAS,Blocked Shots,1.5
Jonas Valanciunas,WAS,Points,14.5
Jonas Valanciunas,WAS,Assists,3.5
Corey Kispert,WAS,Steals,1.5
Corey Kispert,WAS,Rebounds,4.5
Kyle Kuzma,WAS,3-PT Made,2.5
Kyle Kuzma,WAS,Steals,0.5
Austin Reaves,LAL,Steals,0.5
Rui Hachimura,LAL,Steals,0.5
Austin Reaves,LAL,3-PT Made,3.5
Kyle Kuzma,WAS,Pts+Rebs+Asts,29.5
Corey Kispert,WAS,Pts+Rebs+Asts,19.5
Rui Hachimura,LAL,Points,9.5
Kyshawn George,WAS,Rebounds,4.5
LeBron James,LAL,3-PT Made,2.5
LeBron James,LAL,Assists,11.5
LeBron James,LAL,Assists,7.5
LeBron James,LAL,Points,29.5
LeBron James,LAL,Points,18.5
LeBron James,LAL,Pts+Rebs,39.5
LeBron James,LAL,Pts+Asts,39.5
LeBron James,LAL,Rebounds,9.5
LeBron James,LAL,Steals,0.5
LeBron James,LAL,Rebs+Asts,19.5
LeBron James,LAL,Steals,1.5
Jonas Valanciunas,WAS,Pts+Rebs+Asts,24.5
Jonas Valanciunas,WAS,Points,6.5
Kyshawn George,WAS,3-PT Made,2.5
Jordan Poole,WAS,Points,24.5
Jordan Poole,WAS,Rebounds,3.5
Jonas Valanciunas,WAS,Rebounds,9.5
Jordan Poole,WAS,Pts+Rebs,29.5
Corey Kispert,WAS,Rebounds,3.5
Max Christie,LAL,Blocked Shots,0.5
Corey Kispert,WAS,Rebs+Asts,7.5
Corey Kispert,WAS,Pts+Rebs,19.5
Corey Kispert,WAS,Points,15.5
Corey Kispert,WAS,Pts+Asts,19.5
Corey Kispert,WAS,Pts+Asts,9.5
Corey Kispert,WAS,Pts+Asts,14.5
Corey Kispert,WAS,Assists,2.5
Corey Kispert,WAS,Blocked Shots,0.5
Corey Kispert,WAS,3-PT Made,3.5
Carlton Carrington,WAS,Turnovers,0.5
Corey Kispert,WAS,3-PT Made,2.5
Carlton Carrington,WAS,Steals,1.5
Carlton Carrington,WAS,Pts+Rebs+Asts,19.5
Carlton Carrington,WAS,Rebounds,4.5
Carlton Carrington,WAS,Rebs+Asts,11.5
Carlton Carrington,WAS,Pts+Rebs+Asts,14.5
Carlton Carrington,WAS,Pts+Asts,14.5
Carlton Carrington,WAS,Pts+Asts,19.5
Carlton Carrington,WAS,Points,14.5
Max Christie,LAL,Assists,2.5
Bilal Coulibaly,WAS,Steals,1.5
Carlton Carrington,WAS,Assists,2.5
Carlton Carrington,WAS,3-PT Made,0.5
Bilal Coulibaly,WAS,Steals,0.5
Bilal Coulibaly,WAS,Rebs+Asts,11.5
Carlton Carrington,WAS,Points,13.5
Carlton Carrington,WAS,Assists,4.5
Carlton Carrington,WAS,3-PT Made,2.5
Bilal Coulibaly,WAS,Rebs+Asts,9.5
Bilal Coulibaly,WAS,Pts+Rebs,14.5
Bilal Coulibaly,WAS,Pts+Rebs,24.5
Bilal Coulibaly,WAS,Rebs+Asts,7.5
Bilal Coulibaly,WAS,Pts+Rebs,19.5
Bilal Coulibaly,WAS,Pts+Asts,19.5
Bilal Coulibaly,WAS,3-PT Made,2.5
Bilal Coulibaly,WAS,Assists,4.5
Bilal Coulibaly,WAS,3-PT Made,0.5
Austin Reaves,LAL,Steals,2.5
Austin Reaves,LAL,Rebounds,3.5
Austin Reaves,LAL,Pts+Rebs,19.5
Austin Reaves,LAL,Pts+Rebs+Asts,39.5
Austin Reaves,LAL,Pts+Rebs,29.5
Austin Reaves,LAL,Pts+Asts,34.5
Austin Reaves,LAL,Pts+Asts,29.5
Kyshawn George,WAS,Points,4.5
Bilal Coulibaly,WAS,Points,9.5
Austin Reaves,LAL,Pts+Rebs,22.5
